Cluster,Annotation
cluster_00707,EC
cluster_00708,Unclassified
cluster_00709,CST
cluster_00710,Partial
cluster_00711,CST
cluster_00712,Partial
cluster_00713,IOFF
cluster_00714,Sup-PT
cluster_00715,MdLF
cluster_00716,IOFF
cluster_00717,FalsePositive
cluster_00718,Sup-T
cluster_00719,ILF
cluster_00720,CR-F
cluster_00721,EC
cluster_00722,Partial
cluster_00723,ILF
cluster_00724,IOFF
cluster_00725,Sup-T
cluster_00726,AF
cluster_00727,Sup-T
cluster_00728,EmC
cluster_00729,Sup-T
cluster_00730,CST
cluster_00731,UF
cluster_00732,Unclassified
cluster_00733,Sup-T
cluster_00734,Partial
cluster_00735,TF
cluster_00736,MdLF
cluster_00737,Partial
cluster_00738,Sup-T
cluster_00739,Partial
cluster_00740,Sup-T
cluster_00741,Partial
cluster_00742,Unclassified
cluster_00743,Unclassified
cluster_00744,Sup-T
cluster_00745,Unclassified
cluster_00746,CST
cluster_00747,Unclassified
cluster_00748,CR-F
cluster_00749,IOFF
cluster_00750,FalsePositive
cluster_00751,Partial
cluster_00752,IOFF
cluster_00753,Sup-T
cluster_00754,CR-F
cluster_00755,Partial
cluster_00756,Unclassified
cluster_00757,Unclassified
cluster_00758,Partial
cluster_00759,CR-F
cluster_00760,MdLF
cluster_00761,UF
cluster_00762,Sup-F
cluster_00763,Partial
cluster_00764,CR-F
cluster_00765,TF
cluster_00766,FalsePositive
cluster_00767,Partial
cluster_00768,FalsePositive
cluster_00769,IOFF
cluster_00770,CB
cluster_00771,CPC
cluster_00772,Partial
cluster_00773,CST
cluster_00774,FalsePositive
cluster_00775,Partial
cluster_00776,EmC
cluster_00777,Sup-T
cluster_00778,EmC
cluster_00779,Partial
cluster_00780,EC
cluster_00781,MdLF
cluster_00782,FalsePositive
cluster_00783,Unclassified
cluster_00784,Unclassified
cluster_00785,EC
cluster_00786,Partial
cluster_00787,FalsePositive
cluster_00788,Partial
cluster_00789,Unclassified
cluster_00790,MdLF
cluster_00791,Sup-PT
cluster_00792,UF
cluster_00793,CST
cluster_00794,Unclassified
cluster_00795,Sup-T
cluster_00796,Unclassified
cluster_00797,Partial
cluster_00798,FalsePositive
cluster_00799,Partial
cluster_00800,Partial
